Latitude (decimal degrees):	51.028
Longitude (decimal degrees):	7.563
Elevation (m):	254
Radiation database:	PVGIS-SARAH3


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230219:1210,99.78,130.72,27.42,7.14,4.07,0.0
20230219:1310,68.04,94.56,24.89,7.24,4.21,0.0
20230219:1410,39.65,61.19,20.01,7.17,4.21,0.0
20230219:1510,17.49,33.38,13.29,7.08,3.59,0.0
20230219:1610,5.82,16.69,5.25,6.72,2.28,0.0
20230219:1710,0.0,0.0,0.0,6.34,2.07,0.0
20230219:1810,0.0,0.0,0.0,5.96,2.55,0.0
20230219:1910,0.0,0.0,0.0,5.63,3.79,0.0
20230219:2010,0.0,0.0,0.0,5.32,3.72,0.0
20230219:2110,0.0,0.0,0.0,5.02,3.66,0.0
20230219:2210,0.0,0.0,0.0,4.52,3.38,0.0
20230219:2310,0.0,0.0,0.0,4.01,3.24,0.0
20230220:0010,0.0,0.0,0.0,3.66,3.17,0.0
20230220:0110,0.0,0.0,0.0,3.22,2.83,0.0
20230220:0210,0.0,0.0,0.0,3.0,2.76,0.0
20230220:0310,0.0,0.0,0.0,2.75,2.9,0.0
20230220:0410,0.0,0.0,0.0,2.82,3.17,0.0
20230220:0510,0.0,0.0,0.0,2.75,3.45,0.0
20230220:0610,0.0,0.0,0.0,2.67,3.59,0.0
20230220:0710,3.69,12.98,4.67,2.54,3.66,0.0
20230220:0810,283.06,330.85,12.84,3.37,3.93,0.0
20230220:0910,431.9,492.93,19.73,4.55,5.03,0.0
20230220:1010,161.27,197.03,24.84,5.26,4.83,0.0
20230220:1110,59.59,84.37,27.63,6.16,4.97,0.0
20230220:1210,89.31,118.67,27.77,6.9,4.69,0.0
20230220:1310,69.5,96.42,25.23,7.78,4.62,0.0
20230220:1410,74.58,102.45,20.33,8.38,4.69,0.0
20230220:1510,47.82,71.23,13.59,8.3,4.55,0.0
20230220:1610,7.57,19.47,5.54,7.76,4.28,0.0
20230220:1710,0.0,0.0,0.0,6.99,3.93,0.0
20230220:1810,0.0,0.0,0.0,6.52,3.79,0.0
20230220:1910,0.0,0.0,0.0,5.88,3.59,0.0
20230220:2010,0.0,0.0,0.0,5.83,3.59,0.0
20230220:2110,0.0,0.0,0.0,5.84,3.59,0.0
20230220:2210,0.0,0.0,0.0,5.77,3.59,0.0
20230220:2310,0.0,0.0,0.0,5.58,3.38,0.0
20230221:0010,0.0,0.0,0.0,5.5,3.24,0.0
20230221:0110,0.0,0.0,0.0,5.36,3.1,0.0
20230221:0210,0.0,0.0,0.0,5.25,2.9,0.0
20230221:0310,0.0,0.0,0.0,5.08,2.69,0.0
20230221:0410,0.0,0.0,0.0,5.06,2.62,0.0
20230221:0510,0.0,0.0,0.0,5.03,2.48,0.0
20230221:0610,0.0,0.0,0.0,4.92,2.21,0.0
20230221:0710,3.63,12.98,4.98,4.95,1.66,0.0
20230221:0810,29.3,48.21,13.16,5.17,1.86,0.0
20230221:0910,97.29,127.21,20.07,5.62,2.07,0.0
20230221:1010,77.89,105.69,25.19,6.16,1.86,0.0
20230221:1110,75.18,102.91,28.0,6.83,1.59,0.0
20230221:1210,36.46,57.48,28.13,7.36,1.24,0.0
20230221:1310,215.4,261.88,25.57,8.01,1.17,0.0
20230221:1410,488.02,583.9,20.66,8.73,1.24,0.0
20230221:1510,320.56,386.47,13.89,9.16,1.45,0.0
20230221:1610,110.19,153.83,5.82,9.11,1.03,0.0
20230221:1710,0.0,0.0,0.0,8.19,0.83,0.0
20230221:1810,0.0,0.0,0.0,6.51,1.1,0.0
20230221:1910,0.0,0.0,0.0,4.99,1.66,0.0
20230221:2010,0.0,0.0,0.0,4.31,1.79,0.0
20230221:2110,0.0,0.0,0.0,3.59,1.86,0.0
20230221:2210,0.0,0.0,0.0,3.25,1.93,0.0
20230221:2310,0.0,0.0,0.0,3.12,2.14,0.0
20230222:0010,0.0,0.0,0.0,3.37,2.34,0.0
20230222:0110,0.0,0.0,0.0,3.55,2.48,0.0
20230222:0210,0.0,0.0,0.0,3.85,2.69,0.0
20230222:0310,0.0,0.0,0.0,4.07,2.76,0.0
20230222:0410,0.0,0.0,0.0,4.14,2.83,0.0
20230222:0510,0.0,0.0,0.0,3.98,2.76,0.0
20230222:0610,0.0,0.0,0.0,3.73,2.76,0.0
20230222:0710,99.27,139.51,5.29,3.58,2.55,0.0
20230222:0810,230.09,274.68,13.48,4.65,2.34,0.0
20230222:0910,339.02,396.78,20.41,6.2,2.34,0.0
20230222:1010,396.22,465.73,25.55,8.09,2.69,0.0
20230222:1110,511.76,606.29,28.36,9.65,3.03,0.0
20230222:1210,645.01,776.34,28.49,10.76,3.03,0.0
20230222:1310,569.39,684.05,25.92,11.54,2.83,0.0
20230222:1410,307.58,370.22,20.98,11.8,2.41,0.0
20230222:1510,113.64,149.19,14.19,11.61,1.93,0.0
20230222:1610,3.49,12.98,6.1,10.81,1.59,0.0
20230222:1710,0.0,0.0,0.0,9.26,2.28,0.0
20230222:1810,0.0,0.0,0.0,8.35,2.34,0.0
20230222:1910,0.0,0.0,0.0,7.92,1.72,0.0
20230222:2010,0.0,0.0,0.0,7.22,1.59,0.0
20230222:2110,0.0,0.0,0.0,6.93,1.72,0.0
20230222:2210,0.0,0.0,0.0,7.25,1.72,0.0
20230222:2310,0.0,0.0,0.0,7.35,1.66,0.0
20230223:0010,0.0,0.0,0.0,7.15,1.38,0.0
20230223:0110,0.0,0.0,0.0,7.15,1.1,0.0
20230223:0210,0.0,0.0,0.0,7.05,0.76,0.0
20230223:0310,0.0,0.0,0.0,6.95,0.76,0.0
20230223:0410,0.0,0.0,0.0,6.88,0.9,0.0
20230223:0510,0.0,0.0,0.0,6.81,1.1,0.0
20230223:0610,0.0,0.0,0.0,6.74,1.17,0.0
20230223:0710,3.06,12.05,5.6,6.9,0.76,0.0
20230223:0810,35.76,56.55,13.81,7.01,1.03,0.0
20230223:0910,29.0,48.21,20.76,7.12,1.38,0.0
20230223:1010,43.42,65.82,25.91,7.13,1.59,0.0
20230223:1110,32.73,52.85,28.73,7.23,1.79,0.0
20230223:1210,36.52,57.48,28.85,7.17,1.93,0.0
20230223:1310,24.58,42.65,26.26,7.3,2.28,0.0
20230223:1410,29.74,49.14,21.3,7.29,2.34,0.0
20230223:1510,28.27,47.28,14.49,7.15,2.14,0.0
20230223:1610,10.13,23.18,6.38,6.57,2.0,0.0
20230223:1710,0.0,0.0,0.0,6.2,1.72,0.0
20230223:1810,0.0,0.0,0.0,5.96,1.52,0.0
20230223:1910,0.0,0.0,0.0,5.83,1.93,0.0
20230223:2010,0.0,0.0,0.0,5.66,2.07,0.0
20230223:2110,0.0,0.0,0.0,5.52,2.28,0.0
20230223:2210,0.0,0.0,0.0,5.32,1.93,0.0
20230223:2310,0.0,0.0,0.0,5.17,1.72,0.0
20230224:0010,0.0,0.0,0.0,5.02,1.79,0.0
20230224:0110,0.0,0.0,0.0,4.74,1.93,0.0
20230224:0210,0.0,0.0,0.0,4.44,1.66,0.0
20230224:0310,0.0,0.0,0.0,3.98,1.72,0.0
20230224:0410,0.0,0.0,0.0,3.57,1.86,0.0
20230224:0510,0.0,0.0,0.0,3.17,2.07,0.0
20230224:0610,0.0,0.0,0.0,2.7,2.28,0.0
20230224:0710,5.99,16.69,5.92,2.17,2.07,0.0
20230224:0810,15.83,30.59,14.14,2.03,2.07,0.0
20230224:0910,84.9,111.64,21.1,2.21,3.1,0.0
20230224:1010,79.54,105.69,26.27,2.44,4.21,0.0
20230224:1110,71.25,96.42,29.1,2.58,4.41,0.0
20230224:1210,55.74,78.8,29.22,2.57,4.41,0.0
20230224:1310,57.5,80.66,26.61,2.13,4.83,0.0
20230224:1410,56.79,79.73,21.63,1.72,4.55,0.0
20230224:1510,29.91,48.21,14.79,1.4,4.9,0.0
20230224:1610,7.23,18.54,6.66,1.54,4.83,0.0
20230224:1710,0.0,0.0,0.0,1.81,4.41,0.0
20230224:1810,0.0,0.0,0.0,1.98,3.45,0.0
20230224:1910,0.0,0.0,0.0,2.5,4.48,0.0
20230224:2010,0.0,0.0,0.0,2.34,4.76,0.0
20230224:2110,0.0,0.0,0.0,2.0,5.03,0.0
20230224:2210,0.0,0.0,0.0,1.61,4.48,0.0
20230224:2310,0.0,0.0,0.0,1.21,4.41,0.0
20230225:0010,0.0,0.0,0.0,0.99,4.34,0.0
20230225:0110,0.0,0.0,0.0,0.82,4.34,0.0
20230225:0210,0.0,0.0,0.0,0.71,4.34,0.0
20230225:0310,0.0,0.0,0.0,0.57,4.21,0.0
20230225:0410,0.0,0.0,0.0,0.53,3.93,0.0
20230225:0510,0.0,0.0,0.0,0.47,3.86,0.0
20230225:0610,0.0,0.0,0.0,0.41,2.9,0.0
20230225:0710,50.0,74.77,6.24,0.61,2.97,0.0
20230225:0810,66.86,90.85,14.47,0.84,3.52,0.0
20230225:0910,40.0,60.26,21.45,1.28,2.83,0.0
20230225:1010,44.58,65.82,26.64,2.06,2.83,0.0
20230225:1110,790.63,925.77,29.47,3.03,3.45,0.0
20230225:1210,590.75,678.32,29.58,3.7,4.07,0.0
20230225:1310,746.19,859.9,26.96,3.62,4.83,0.0
20230225:1410,558.42,633.41,21.95,3.27,5.24,0.0
20230225:1510,409.99,469.45,15.1,2.87,5.1,0.0
20230225:1610,148.5,192.69,6.95,2.05,4.69,0.0
20230225:1710,0.0,0.0,0.0,0.97,3.93,0.0
20230225:1810,0.0,0.0,0.0,0.13,3.66,0.0
20230225:1910,0.0,0.0,0.0,-0.7,3.66,0.0
20230225:2010,0.0,0.0,0.0,-1.17,3.31,0.0
20230225:2110,0.0,0.0,0.0,-1.65,3.03,0.0
20230225:2210,0.0,0.0,0.0,-2.02,2.97,0.0
20230225:2310,0.0,0.0,0.0,-2.32,3.03,0.0
20230226:0010,0.0,0.0,0.0,-2.54,3.03,0.0
20230226:0110,0.0,0.0,0.0,-2.7,3.03,0.0
20230226:0210,0.0,0.0,0.0,-3.01,3.03,0.0
20230226:0310,0.0,0.0,0.0,-3.29,3.17,0.0
20230226:0410,0.0,0.0,0.0,-3.44,3.45,0.0
20230226:0510,0.0,0.0,0.0,-3.55,3.66,0.0
20230226:0610,0.0,0.0,0.0,-3.61,3.79,0.0
20230226:0710,155.7,199.71,6.56,-3.15,4.07,0.0
20230226:0810,427.65,478.54,14.81,-2.21,5.59,0.0
20230226:0910,563.53,625.78,21.81,-1.09,5.59,0.0
20230226:1010,303.41,343.53,27.0,-0.15,5.66,0.0
20230226:1110,205.29,240.36,29.84,0.48,5.66,0.0
20230226:1210,231.84,269.14,29.95,0.87,5.52,0.0
20230226:1310,628.66,707.21,27.31,0.95,5.45,0.0
20230226:1410,569.18,638.77,22.28,0.91,5.31,0.0
20230226:1510,406.73,461.29,15.4,0.95,5.31,0.0
20230226:1610,178.18,226.47,7.23,0.51,4.41,0.0
20230226:1710,0.0,0.0,0.0,-0.41,3.93,0.0
20230226:1810,0.0,0.0,0.0,-1.15,3.79,0.0
20230226:1910,0.0,0.0,0.0,-1.38,3.38,0.0
20230226:2010,0.0,0.0,0.0,-1.75,3.03,0.0
20230226:2110,0.0,0.0,0.0,-2.1,2.9,0.0
20230226:2210,0.0,0.0,0.0,-2.3,2.9,0.0
20230226:2310,0.0,0.0,0.0,-2.58,2.9,0.0
20230227:0010,0.0,0.0,0.0,-2.77,2.83,0.0
20230227:0110,0.0,0.0,0.0,-2.98,2.76,0.0
20230227:0210,0.0,0.0,0.0,-3.15,2.83,0.0
20230227:0310,0.0,0.0,0.0,-3.32,2.83,0.0
20230227:0410,0.0,0.0,0.0,-3.4,2.76,0.0
20230227:0510,0.0,0.0,0.0,-3.5,2.69,0.0
20230227:0610,0.0,0.0,0.0,-3.59,2.69,0.0
20230227:0710,153.33,196.49,6.89,-3.48,2.69,0.0
20230227:0810,428.39,485.92,15.15,-1.93,2.83,0.0
20230227:0910,632.37,712.96,22.17,-0.18,4.21,0.0
20230227:1010,755.65,861.87,27.38,0.97,4.62,0.0
20230227:1110,816.99,943.51,30.22,1.67,4.41,0.0
20230227:1210,782.0,903.63,30.32,2.09,4.21,0.0
20230227:1310,724.66,833.02,27.67,2.25,4.14,0.0
20230227:1410,587.07,667.64,22.61,2.11,4.14,0.0
20230227:1510,382.54,437.83,15.7,1.68,4.0,0.0
20230227:1610,165.81,212.24,7.51,1.14,3.45,0.0
20230227:1710,0.0,0.0,0.0,0.26,3.24,0.0
20230227:1810,0.0,0.0,0.0,-0.47,3.24,0.0
20230227:1910,0.0,0.0,0.0,-0.93,2.83,0.0
20230227:2010,0.0,0.0,0.0,-1.54,2.76,0.0
20230227:2110,0.0,0.0,0.0,-2.0,2.69,0.0
20230227:2210,0.0,0.0,0.0,-2.19,2.69,0.0
20230227:2310,0.0,0.0,0.0,-2.44,2.62,0.0
20230228:0010,0.0,0.0,0.0,-2.67,2.55,0.0
20230228:0110,0.0,0.0,0.0,-2.92,2.55,0.0
20230228:0210,0.0,0.0,0.0,-3.1,2.62,0.0
20230228:0310,0.0,0.0,0.0,-3.25,2.76,0.0
20230228:0410,0.0,0.0,0.0,-3.36,2.83,0.0
20230228:0510,0.0,0.0,0.0,-3.41,2.9,0.0
20230228:0610,0.0,0.0,0.0,-3.45,2.97,0.0
20230228:0710,163.22,208.03,7.22,-2.95,2.83,0.0
20230228:0810,425.14,482.47,15.49,-1.45,3.03,0.0
20230228:0910,542.44,611.42,22.53,0.09,3.79,0.0
20230228:1010,622.95,705.27,27.75,1.29,4.62,0.0
20230228:1110,738.81,850.34,30.6,2.19,4.28,0.0
20230228:1210,748.66,866.78,30.7,2.67,4.0,0.0
20230228:1310,750.83,871.32,28.02,2.99,3.79,0.0
20230228:1410,636.6,731.99,22.93,3.1,3.72,0.0
20230228:1510,437.98,504.75,16.0,2.87,3.52,0.0
20230228:1610,183.33,234.49,7.79,2.17,2.76,0.0
20230228:1710,0.0,0.0,0.0,0.51,2.62,0.0
20230228:1810,0.0,0.0,0.0,-0.77,2.69,0.0
20230228:1910,0.0,0.0,0.0,-1.18,2.41,0.0
20230228:2010,0.0,0.0,0.0,-1.65,2.48,0.0
20230228:2110,0.0,0.0,0.0,-1.92,2.48,0.0
20230228:2210,0.0,0.0,0.0,-2.15,2.41,0.0
20230228:2310,0.0,0.0,0.0,-2.38,2.41,0.0
20230301:0010,0.0,0.0,0.0,-2.58,2.48,0.0
20230301:0110,0.0,0.0,0.0,-2.72,2.48,0.0
20230301:0210,0.0,0.0,0.0,-2.88,2.48,0.0
20230301:0310,0.0,0.0,0.0,-3.0,2.55,0.0
20230301:0410,0.0,0.0,0.0,-3.1,2.69,0.0
20230301:0510,0.0,0.0,0.0,-3.16,2.76,0.0
20230301:0610,0.0,0.0,0.0,-3.2,2.76,0.0
20230301:0710,159.37,202.46,7.55,-3.14,2.83,0.0
20230301:0810,412.38,468.17,15.84,-1.47,2.9,0.0
20230301:0910,610.49,693.64,22.89,0.45,3.45,0.0
20230301:1010,729.59,845.72,28.13,2.11,3.31,0.0
20230301:1110,794.39,937.8,30.98,3.5,3.1,0.0
20230301:1210,755.05,892.69,31.07,4.38,2.97,0.0
20230301:1310,729.16,858.76,28.37,4.93,3.17,0.0
20230301:1410,618.57,717.62,23.26,5.0,3.66,0.0
20230301:1510,423.04,490.33,16.31,4.53,3.86,0.0
20230301:1610,167.97,216.15,8.08,3.38,3.52,0.0
20230301:1710,0.0,0.0,0.0,1.45,3.52,0.0
20230301:1810,0.0,0.0,0.0,0.1,3.52,0.0
20230301:1910,0.0,0.0,0.0,0.33,3.66,0.0
20230301:2010,0.0,0.0,0.0,-0.04,3.45,0.0
20230301:2110,0.0,0.0,0.0,-0.36,3.38,0.0
20230301:2210,0.0,0.0,0.0,-0.62,3.38,0.0
20230301:2310,0.0,0.0,0.0,-0.81,3.31,0.0
20230302:0010,0.0,0.0,0.0,-0.96,3.24,0.0
20230302:0110,0.0,0.0,0.0,-1.11,3.17,0.0
20230302:0210,0.0,0.0,0.0,-1.22,3.03,0.0
20230302:0310,0.0,0.0,0.0,-1.3,3.03,0.0
20230302:0410,0.0,0.0,0.0,-1.38,3.1,0.0
20230302:0510,0.0,0.0,0.0,-1.44,3.24,0.0
20230302:0610,0.0,0.0,0.0,-1.4,3.38,0.0
20230302:0710,143.94,184.99,7.88,-1.06,3.45,0.0
20230302:0810,402.77,461.51,16.19,0.73,2.97,0.0
20230302:0910,598.27,687.5,23.25,2.91,3.38,0.0
20230302:1010,717.45,844.29,28.51,4.93,3.1,0.0
20230302:1110,774.56,929.76,31.37,6.52,2.83,0.0
20230302:1210,748.43,900.11,31.45,7.53,2.83,0.0
20230302:1310,714.13,855.87,28.73,8.08,2.9,0.0
20230302:1410,601.96,711.57,23.59,8.13,3.1,0.0
20230302:1510,411.74,486.07,16.61,7.63,3.1,0.0
20230302:1610,162.86,212.79,8.36,6.36,2.9,0.0
20230302:1710,0.0,0.0,0.0,4.11,3.03,0.0
20230302:1810,0.0,0.0,0.0,2.31,3.17,0.0
20230302:1910,0.0,0.0,0.0,1.97,3.1,0.0
20230302:2010,0.0,0.0,0.0,1.11,3.1,0.0
20230302:2110,0.0,0.0,0.0,0.39,2.97,0.0
20230302:2210,0.0,0.0,0.0,-0.14,2.9,0.0
20230302:2310,0.0,0.0,0.0,-0.53,2.69,0.0
20230303:0010,0.0,0.0,0.0,-0.89,2.48,0.0
20230303:0110,0.0,0.0,0.0,-1.3,2.34,0.0
20230303:0210,0.0,0.0,0.0,-1.52,2.34,0.0
20230303:0310,0.0,0.0,0.0,-1.65,2.28,0.0
20230303:0410,0.0,0.0,0.0,-1.76,2.21,0.0
20230303:0510,0.0,0.0,0.0,-1.81,2.34,0.0
20230303:0610,0.0,0.0,0.0,-2.0,2.55,0.0
20230303:0710,80.17,108.74,8.22,-1.51,2.28,0.0
20230303:0810,357.69,410.24,16.54,-0.11,2.28,0.0
20230303:0910,568.46,655.08,23.62,1.5,2.14,0.0
20230303:1010,698.6,824.04,28.89,2.99,2.0,0.0
20230303:1110,768.23,921.25,31.75,4.04,2.0,0.0
20230303:1210,761.78,915.95,31.82,4.94,2.07,0.0
20230303:1310,718.52,854.63,29.08,5.41,2.48,0.0
20230303:1410,616.05,721.66,23.92,5.35,2.76,0.0
20230303:1510,416.06,484.92,16.91,4.74,2.97,0.0
20230303:1610,171.11,220.05,8.64,3.79,2.69,0.0
20230303:1710,0.0,0.0,0.0,2.37,2.28,0.0
20230303:1810,0.0,0.0,0.0,0.96,2.21,0.0
20230303:1910,0.0,0.0,0.0,0.41,2.14,0.0
20230303:2010,0.0,0.0,0.0,0.03,1.79,0.0
20230303:2110,0.0,0.0,0.0,-0.25,1.59,0.0
20230303:2210,0.0,0.0,0.0,-0.1,1.52,0.0
20230303:2310,0.0,0.0,0.0,-0.17,1.45,0.0
20230304:0010,0.0,0.0,0.0,-0.17,1.52,0.0
20230304:0110,0.0,0.0,0.0,-0.19,1.79,0.0
20230304:0210,0.0,0.0,0.0,-0.18,2.07,0.0
20230304:0310,0.0,0.0,0.0,-0.16,2.14,0.0
20230304:0410,0.0,0.0,0.0,-0.23,2.21,0.0
20230304:0510,0.0,0.0,0.0,-0.06,2.14,0.0
20230304:0610,0.0,0.0,0.0,0.11,2.28,0.0
20230304:0710,21.05,37.08,8.56,0.0,2.21,0.0
20230304:0810,56.89,79.73,16.9,1.01,2.83,0.0
20230304:0910,109.33,138.55,23.99,2.03,3.45,0.0
20230304:1010,137.47,170.13,29.27,3.08,3.66,0.0
20230304:1110,182.84,220.31,32.14,3.68,3.66,0.0
20230304:1210,51.38,74.17,32.2,3.77,3.72,0.0
20230304:1310,56.11,79.73,29.44,4.09,3.86,0.0
20230304:1410,56.04,79.73,24.25,4.38,4.07,0.0
20230304:1510,24.22,41.72,17.21,4.53,4.0,0.0
20230304:1610,19.9,36.16,8.92,4.12,3.66,0.0
20230304:1710,0.0,0.0,0.0,3.59,3.45,0.0
20230304:1810,0.0,0.0,0.0,2.86,3.52,0.0
20230304:1910,0.0,0.0,0.0,2.63,3.1,0.0
20230304:2010,0.0,0.0,0.0,2.24,2.97,0.0
20230304:2110,0.0,0.0,0.0,1.8,2.76,0.0
20230304:2210,0.0,0.0,0.0,1.33,2.62,0.0
20230304:2310,0.0,0.0,0.0,1.16,2.55,0.0
20230305:0010,0.0,0.0,0.0,1.03,2.34,0.0
20230305:0110,0.0,0.0,0.0,0.91,2.21,0.0
20230305:0210,0.0,0.0,0.0,0.7,2.21,0.0
20230305:0310,0.0,0.0,0.0,0.6,2.34,0.0
20230305:0410,0.0,0.0,0.0,0.66,2.34,0.0
20230305:0510,0.0,0.0,0.0,0.46,2.55,0.0
20230305:0610,0.0,0.0,0.0,0.28,2.62,0.0
20230305:0710,48.05,70.59,8.91,0.41,2.97,0.0
20230305:0810,155.57,187.77,17.25,0.69,3.38,0.0
20230305:0910,169.69,203.43,24.36,1.42,3.59,0.0
20230305:1010,77.23,102.91,29.66,1.85,3.72,0.0
20230305:1110,150.22,183.8,32.53,2.44,3.52,0.0
20230305:1210,83.34,110.33,32.58,3.15,3.59,0.0
20230305:1310,109.85,139.99,29.8,3.34,3.45,0.0
20230305:1410,75.12,101.05,24.58,3.02,3.31,0.0
20230305:1510,47.53,69.53,17.52,3.13,3.17,0.0
20230305:1610,33.54,53.15,9.2,2.46,2.76,0.0
20230305:1710,0.0,0.0,0.0,1.61,1.86,0.0
20230305:1810,0.0,0.0,0.0,0.97,1.72,0.0
20230305:1910,0.0,0.0,0.0,0.65,1.66,0.0
20230305:2010,0.0,0.0,0.0,0.38,1.45,0.0
20230305:2110,0.0,0.0,0.0,-0.07,1.52,0.0
20230305:2210,0.0,0.0,0.0,-0.34,1.52,0.0
20230305:2310,0.0,0.0,0.0,-0.47,1.66,0.0
20230306:0010,0.0,0.0,0.0,-0.3,1.79,0.0
20230306:0110,0.0,0.0,0.0,-0.25,2.0,0.0
20230306:0210,0.0,0.0,0.0,-0.29,1.72,0.0
20230306:0310,0.0,0.0,0.0,-0.53,2.14,0.0
20230306:0410,0.0,0.0,0.0,-0.75,1.93,0.0
20230306:0510,0.0,0.0,0.0,-0.96,2.07,0.0
20230306:0610,0.0,0.0,0.0,-0.89,2.14,0.0
20230306:0710,9.24,21.32,9.25,-0.68,3.38,0.0
20230306:0810,58.9,81.59,17.61,-0.1,3.93,0.0
20230306:0910,53.01,75.1,24.74,0.57,4.0,0.0
20230306:1010,101.05,128.87,30.04,0.95,3.93,0.0
20230306:1110,63.19,87.15,32.92,1.93,3.45,0.0
20230306:1210,38.19,58.41,32.96,2.6,3.38,0.0
20230306:1310,64.51,89.0,30.15,2.9,3.24,0.0
20230306:1410,205.09,243.41,24.91,3.06,3.24,0.0
20230306:1510,129.97,161.45,17.82,2.78,3.31,0.0
20230306:1610,5.39,15.76,9.49,2.3,3.1,0.0
20230306:1710,0.0,0.0,0.0,1.79,2.69,0.0
20230306:1810,0.0,0.0,0.0,1.31,2.21,0.0
20230306:1910,0.0,0.0,0.0,0.66,2.48,0.0
20230306:2010,0.0,0.0,0.0,0.35,2.9,0.0
20230306:2110,0.0,0.0,0.0,0.25,3.59,0.0
20230306:2210,0.0,0.0,0.0,0.25,4.0,0.0
20230306:2310,0.0,0.0,0.0,0.36,4.41,0.0
20230307:0010,0.0,0.0,0.0,0.84,4.76,0.0
20230307:0110,0.0,0.0,0.0,1.17,5.03,0.0
20230307:0210,0.0,0.0,0.0,1.24,5.1,0.0
20230307:0310,0.0,0.0,0.0,1.2,5.1,0.0
20230307:0410,0.0,0.0,0.0,1.18,4.97,0.0
20230307:0510,0.0,0.0,0.0,1.13,4.76,0.0
20230307:0610,0.0,0.0,0.0,1.09,4.48,0.0
20230307:0710,13.83,27.81,9.6,1.06,4.76,0.0
20230307:0810,66.99,91.05,17.97,1.19,4.97,0.0
20230307:0910,34.53,53.77,25.11,1.38,4.14,0.0
20230307:1010,89.89,116.82,30.43,1.72,4.97,0.0
20230307:1110,80.61,106.62,33.31,2.12,5.86,0.0
20230307:1210,39.9,60.26,33.34,2.09,5.17,0.0
20230307:1310,45.52,66.75,30.51,1.74,5.1,0.0
20230307:1410,47.21,68.61,25.23,1.01,3.03,0.0
20230307:1510,29.99,48.21,18.12,0.62,2.28,0.0
20230307:1610,18.82,34.3,9.77,0.4,1.72,0.0
20230307:1710,0.0,0.0,0.0,0.11,1.59,0.0
20230307:1810,0.0,0.0,0.0,-0.06,1.66,0.0
20230307:1910,0.0,0.0,0.0,-0.03,2.14,0.0
20230307:2010,0.0,0.0,0.0,-0.24,2.69,0.0
20230307:2110,0.0,0.0,0.0,-0.57,2.48,0.0
20230307:2210,0.0,0.0,0.0,-0.79,2.34,0.0
20230307:2310,0.0,0.0,0.0,-1.07,2.21,0.0
20230308:0010,0.0,0.0,0.0,-1.28,1.79,0.0
20230308:0110,0.0,0.0,0.0,-1.55,1.45,0.0
20230308:0210,0.0,0.0,0.0,-1.48,1.24,0.0
20230308:0310,0.0,0.0,0.0,-1.68,1.1,0.0
20230308:0410,0.0,0.0,0.0,-1.68,1.52,0.0
20230308:0510,0.0,0.0,0.0,-1.66,1.79,0.0
20230308:0610,0.0,0.0,0.0,-1.51,2.41,0.0
20230308:0710,41.26,61.59,9.95,-1.22,2.83,0.0
20230308:0810,10.55,23.18,18.33,-0.63,3.1,0.0
20230308:0910,62.15,85.29,25.49,-0.1,3.31,0.0
20230308:1010,62.88,86.22,30.82,0.32,3.86,0.0
20230308:1110,122.4,152.05,33.71,0.48,3.66,0.0
20230308:1210,89.27,115.89,33.72,0.69,2.97,0.0
20230308:1310,114.39,143.7,30.87,0.9,2.9,0.0
20230308:1410,54.39,76.95,25.56,1.18,2.34,0.0
20230308:1510,47.94,69.53,18.42,1.0,1.59,0.0
20230308:1610,27.82,45.8,10.05,0.97,1.45,0.0
20230308:1710,0.0,0.0,0.0,0.88,1.31,0.0
20230308:1810,0.0,0.0,0.0,1.07,1.17,0.0
20230308:1910,0.0,0.0,0.0,0.76,1.66,0.0
20230308:2010,0.0,0.0,0.0,1.15,1.66,0.0
20230308:2110,0.0,0.0,0.0,1.71,1.86,0.0
20230308:2210,0.0,0.0,0.0,2.27,2.07,0.0
20230308:2310,0.0,0.0,0.0,2.59,2.07,0.0
20230309:0010,0.0,0.0,0.0,2.73,2.07,0.0
20230309:0110,0.0,0.0,0.0,2.75,2.07,0.0
20230309:0210,0.0,0.0,0.0,2.81,2.0,0.0
20230309:0310,0.0,0.0,0.0,2.91,2.48,0.0
20230309:0410,0.0,0.0,0.0,2.52,2.34,0.0
20230309:0510,0.0,0.0,0.0,2.15,2.21,0.0
20230309:0610,0.0,0.0,0.0,1.95,2.07,0.0
20230309:0710,55.33,79.24,10.3,1.28,1.03,0.0
20230309:0810,42.27,63.04,18.7,1.42,1.24,0.0
20230309:0910,65.52,89.93,25.87,1.89,1.79,0.0
20230309:1010,104.28,133.5,31.22,2.25,2.0,0.0
20230309:1110,85.86,113.11,34.1,2.88,2.9,0.0
20230309:1210,41.97,63.04,34.11,3.11,2.34,0.0
20230309:1310,97.15,126.09,31.23,3.17,1.79,0.0
20230309:1410,24.31,41.72,25.89,3.6,2.14,0.0
20230309:1510,87.53,115.65,18.72,4.61,3.1,0.0
20230309:1610,81.75,112.41,10.33,6.05,4.28,0.0
20230309:1710,0.0,0.0,0.0,6.69,4.21,0.0
20230309:1810,0.0,0.0,0.0,6.66,4.41,0.0
20230309:1910,0.0,0.0,0.0,7.02,4.28,0.0
20230309:2010,0.0,0.0,0.0,7.1,4.9,0.0
20230309:2110,0.0,0.0,0.0,7.31,4.62,0.0
